CO_CND,NO2_CND,Rain,Wind,Temperature,CO-Delhi1,CO-Delhi2,CO-Delhi3,CO-Delhi4,CO-Delhi5,NO2-Delhi1,NO2-Delhi2,NO2-Delhi3,NO2-Delhi4,NO2-Delhi5
0.0527745,0.000117325,0,1.49337,295.999,0.0492597,0.0626346,0.046925,0.0454091,0.0474605,0.000188435,0.000486822,0.000152244,0.000135817,0.000238663
0.0558912,9.46E-05,0,1.76764,296.28,0.0626346,0.046925,0.0454091,0.0474605,,0.000486822,0.000152244,0.000135817,0.000238663,0.000195626
0.0447088,9.08E-05,0.003401948,2.93987,301.86,0.046925,0.0454091,0.0474605,,0.0442694,0.000152244,0.000135817,0.000238663,0.000195626,0.000126458
0.0447095,8.04E-05,0.001689335,1.76278,303.951,0.0454091,0.0474605,,0.0442694,0.0454183,0.000135817,0.000238663,0.000195626,0.000126458,0.000124429
0.041894,8.25E-05,0.002210249,1.72566,304.854,0.0474605,,0.0442694,0.0454183,0.0390855,0.000238663,0.000195626,0.000126458,0.000124429,0.000181588
0.0442913,7.74E-05,0.005486693,2.69065,304.116,,0.0442694,0.0454183,0.0390855,0.0390958,0.000195626,0.000126458,0.000124429,0.000181588,0.000111705
0.0426091,7.73E-05,0.002101736,2.66775,303.268,0.0442694,0.0454183,0.0390855,0.0390958,0.0380592,0.000126458,0.000124429,0.000181588,0.000111705,0.000150468
0.039696,7.93E-05,0.001069909,2.28463,304.078,0.0454183,0.0390855,0.0390958,0.0380592,0.0421092,0.000124429,0.000181588,0.000111705,0.000150468,0.000137964
0.0392552,8.09E-05,0.000840559,2.69895,303.955,0.0390855,0.0390958,0.0380592,0.0421092,0.0425395,0.000181588,0.000111705,0.000150468,0.000137964,0.000144971
0.0376059,8.59E-05,0.000507444,2.15561,304.5,0.0390958,0.0380592,0.0421092,0.0425395,0.0441991,0.000111705,0.000150468,0.000137964,0.000144971,0.000210285
0.0368373,8.35E-05,0.00027726,2.12648,305.306,0.0380592,0.0421092,0.0425395,0.0441991,0.0381829,0.000150468,0.000137964,0.000144971,0.000210285,0.000126763
0.037614,0.000080763,0.000238251,2.24563,305.604,0.0421092,0.0425395,0.0441991,0.0381829,0.0383596,0.000137964,0.000144971,0.000210285,0.000126763,0.000120097
0.0393811,8.46E-05,0.000376737,2.51382,306.165,0.0425395,0.0441991,0.0381829,0.0383596,0.0390293,0.000144971,0.000210285,0.000126763,0.000120097,0.000136083
0.0391625,9.25E-05,0.001008545,3.15571,305.665,0.0441991,0.0381829,0.0383596,0.0390293,0.0426038,0.000210285,0.000126763,0.000120097,0.000136083,0.000127296
0.0384139,8.97E-05,0.002243972,3.12733,304.545,0.0381829,0.0383596,0.0390293,0.0426038,0.0392466,0.000126763,0.000120097,0.000136083,0.000127296,0.00014155
0.038761,8.08E-05,0.000777489,3.26614,304.378,0.0383596,0.0390293,0.0426038,0.0392466,0.0385091,0.000120097,0.000136083,0.000127296,0.00014155,0.000169858
0.0383374,7.48E-05,0.000706229,2.18015,304.052,0.0390293,0.0426038,0.0392466,0.0385091,0.034597,0.000136083,0.000127296,0.00014155,0.000169858,0.00012373
0.0396395,8.06E-05,0.000791987,2.34198,304.15,0.0426038,0.0392466,0.0385091,0.034597,0.0335905,0.000127296,0.00014155,0.000169858,0.00012373,0.000108897
0.0376163,8.25E-05,0.002323251,2.76864,303.983,0.0392466,0.0385091,0.034597,0.0335905,0.0345689,0.00014155,0.000169858,0.00012373,0.000108897,0.000164562
0.035887,7.61E-05,0.001102371,3.2221,303.388,0.0385091,0.034597,0.0335905,0.0345689,,0.000169858,0.00012373,0.000108897,0.000164562,9.08E-05
0.0383016,7.76E-05,0.000777038,3.62485,301.964,0.034597,0.0335905,0.0345689,,0.0337958,0.00012373,0.000108897,0.000164562,9.08E-05,0.000145548
0.0355554,8.04E-05,0.001298772,2.2436,302.328,0.0335905,0.0345689,,0.0337958,0.0323828,0.000108897,0.000164562,9.08E-05,0.000145548,0.000153937
0.0332098,0.000076791,0.001356458,1.93805,302.697,0.0345689,,0.0337958,0.0323828,0.0356548,0.000164562,9.08E-05,0.000145548,0.000153937,0.000151582
0.0345958,0.00008169,0.001536181,2.74985,301.315,,0.0337958,0.0323828,0.0356548,0.0339334,9.08E-05,0.000145548,0.000153937,0.000151582,0.000099913
0.0324896,7.92E-05,0.000658449,2.25319,302.01,0.0337958,0.0323828,0.0356548,0.0339334,0.0348535,0.000145548,0.000153937,0.000151582,0.000099913,0.000118426
0.0346205,8.22E-05,0.000498521,2.53068,302.634,0.0323828,0.0356548,0.0339334,0.0348535,0.0347432,0.000153937,0.000151582,0.000099913,0.000118426,0.000107017
0.0356402,7.03E-05,0.001245274,2.68305,302.94,0.0356548,0.0339334,0.0348535,0.0347432,0.0368295,0.000151582,0.000099913,0.000118426,0.000107017,0.000149513
0.0365147,6.82E-05,0.002760134,3.08104,302.586,0.0339334,0.0348535,0.0347432,0.0368295,0.0387019,0.000099913,0.000118426,0.000107017,0.000149513,0.000207181
0.038173,7.99E-05,0.00298975,3.11545,301.422,0.0348535,0.0347432,0.0368295,0.0387019,0.0402092,0.000118426,0.000107017,0.000149513,0.000207181,0.000160967
0.0370127,8.99E-05,0.005066043,3.11473,299.934,0.0347432,0.0368295,0.0387019,0.0402092,0.0390432,0.000107017,0.000149513,0.000207181,0.000160967,0.000151651
0.0378206,7.23E-05,0.002984849,3.37982,298.441,0.0368295,0.0387019,0.0402092,0.0390432,0.0434751,0.000149513,0.000207181,0.000160967,0.000151651,0.000152927
0.0367572,6.52E-05,0.004389412,2.43115,299.421,0.0387019,0.0402092,0.0390432,0.0434751,0.0383793,0.000207181,0.000160967,0.000151651,0.000152927,0.00011555
0.0372698,8.84E-05,0.000765165,2.45146,300.115,0.0402092,0.0390432,0.0434751,0.0383793,0.033601,0.000160967,0.000151651,0.000152927,0.00011555,0.000132292
0.0363132,7.96E-05,0.000520148,1.86213,300.871,0.0390432,0.0434751,0.0383793,0.033601,0.0403811,0.000151651,0.000152927,0.00011555,0.000132292,0.000169653
0.0384423,8.83E-05,0.001085359,1.89754,300.016,0.0434751,0.0383793,0.033601,0.0403811,0.0339794,0.000152927,0.00011555,0.000132292,0.000169653,9.37E-05
0.0336674,0.00008432,0.000982184,1.76156,297.964,0.0383793,0.033601,0.0403811,0.0339794,0.0346023,0.00011555,0.000132292,0.000169653,9.37E-05,0.000118587
0.0332251,8.02E-05,2.34E-06,2.11021,299.287,0.033601,0.0403811,0.0339794,0.0346023,0.0406319,0.000132292,0.000169653,9.37E-05,0.000118587,0.000181038
0.0354309,8.70E-05,0.0000606,2.19455,299.581,0.0403811,0.0339794,0.0346023,0.0406319,0.0459674,0.000169653,9.37E-05,0.000118587,0.000181038,0.000312087
0.0318759,7.45E-05,0.000312748,2.66601,299.136,0.0339794,0.0346023,0.0406319,0.0459674,0.0425551,9.37E-05,0.000118587,0.000181038,0.000312087,0.000169539
0.0344719,0.000082374,6.91E-07,1.75868,299.4,0.0346023,0.0406319,0.0459674,0.0425551,0.0483392,0.000118587,0.000181038,0.000312087,0.000169539,0.000142857
0.0359115,8.17E-05,0.00010998,1.81878,299.509,0.0406319,0.0459674,0.0425551,0.0483392,0.0448061,0.000181038,0.000312087,0.000169539,0.000142857,0.000133779
0.0368206,8.60E-05,1.24E-05,1.49444,299.462,0.0459674,0.0425551,0.0483392,0.0448061,0.044874,0.000312087,0.000169539,0.000142857,0.000133779,0.000143596
0.0388383,8.82E-05,0.000141363,1.65096,300.029,0.0425551,0.0483392,0.0448061,0.044874,0.0438967,0.000169539,0.000142857,0.000133779,0.000143596,0.000210007
0.0389281,8.32E-05,9.79E-05,1.8399,300.294,0.0483392,0.0448061,0.044874,0.0438967,0.0529088,0.000142857,0.000133779,0.000143596,0.000210007,0.000196374
0.0419944,8.70E-05,1.59E-05,1.80248,300.437,0.0448061,0.044874,0.0438967,0.0529088,0.0529459,0.000133779,0.000143596,0.000210007,0.000196374,0.000152994
0.0398809,0.000092273,0.000183946,1.94655,300.841,0.044874,0.0438967,0.0529088,0.0529459,0.0462868,0.000143596,0.000210007,0.000196374,0.000152994,0.000142565
0.0412142,9.64E-05,0.000192228,2.13654,300.929,0.0438967,0.0529088,0.0529459,0.0462868,0.0459897,0.000210007,0.000196374,0.000152994,0.000142565,0.000164635
0.0442766,8.88E-05,0.000286344,2.33615,300.703,0.0529088,0.0529459,0.0462868,0.0459897,0.0353567,0.000196374,0.000152994,0.000142565,0.000164635,0.000136085
0.0472758,8.17E-05,0.001132486,2.69741,300.069,0.0529459,0.0462868,0.0459897,0.0353567,0.0394378,0.000152994,0.000142565,0.000164635,0.000136085,0.000128372
0.0400068,8.59E-05,0.002068601,2.84796,297.807,0.0462868,0.0459897,0.0353567,0.0394378,0.0359466,0.000142565,0.000164635,0.000136085,0.000128372,0.000120666
0.0375094,0.000080246,0.000212025,2.45245,297.956,0.0459897,0.0353567,0.0394378,0.0359466,0.0411265,0.000164635,0.000136085,0.000128372,0.000120666,0.000120935
0.0362359,8.61E-05,0.000000112,2.0125,297.452,0.0353567,0.0394378,0.0359466,0.0411265,0.0661393,0.000136085,0.000128372,0.000120666,0.000120935,0.000246894
0.0371099,8.52E-05,7.84E-07,2.11518,297.143,0.0394378,0.0359466,0.0411265,0.0661393,0.0519584,0.000128372,0.000120666,0.000120935,0.000246894,0.000186927
0.0358263,8.49E-05,0,2.28263,297.34,0.0359466,0.0411265,0.0661393,0.0519584,0.0519584,0.000120666,0.000120935,0.000246894,0.000186927,0.000198341
0.0394821,8.30E-05,0.000163921,2.02562,297.731,0.0411265,0.0661393,0.0519584,0.0519584,0.0463892,0.000120935,0.000246894,0.000186927,0.000198341,0.000107619
0.0471101,9.50E-05,0.000151938,2.23493,297.673,0.0661393,0.0519584,0.0519584,0.0463892,0.0531548,0.000246894,0.000186927,0.000198341,0.000107619,0.000118184
0.0505047,9.21E-05,9.25E-05,2.14112,297.432,0.0519584,0.0519584,0.0463892,0.0531548,,0.000186927,0.000198341,0.000107619,0.000118184,0.000120334
0.0484593,9.42E-05,5.31E-06,1.67697,296.973,0.0519584,0.0463892,0.0531548,,0.0685245,0.000198341,0.000107619,0.000118184,0.000120334,9.63E-05
0.0474668,9.18E-05,7.67E-07,1.69963,296.847,0.0463892,0.0531548,,0.0685245,0.0560328,0.000107619,0.000118184,0.000120334,9.63E-05,0.000536714
0.0529049,8.07E-05,0,1.49284,297.136,0.0531548,,0.0685245,0.0560328,,0.000118184,0.000120334,9.63E-05,0.000536714,0.000260355
0.060692,0.000094547,5.84E-07,1.52275,297.405,,0.0685245,0.0560328,,0.0486405,0.000120334,9.63E-05,0.000536714,0.000260355,0.000209021
0.0571424,9.13E-05,0.000189183,1.80012,297.276,0.0685245,0.0560328,,0.0486405,0.0421601,9.63E-05,0.000536714,0.000260355,0.000209021,0.000176963
0.0655042,0.000117664,0.001028861,2.21403,296.838,0.0560328,,0.0486405,0.0421601,0.0551677,0.000536714,0.000260355,0.000209021,0.000176963,9.72E-05
0.0503441,0.00010728,0.002162839,3.33841,296.728,,0.0486405,0.0421601,0.0551677,0.0360976,0.000260355,0.000209021,0.000176963,9.72E-05,0.000120738
0.0452016,9.35E-05,0.005543802,3.39074,294.853,0.0486405,0.0421601,0.0551677,0.0360976,0.0378252,0.000209021,0.000176963,9.72E-05,0.000120738,
0.0450858,0.000086537,9.72E-05,2.06152,292.834,0.0421601,0.0551677,0.0360976,0.0378252,0.0645436,0.000176963,9.72E-05,0.000120738,,0.000119114
